Position,Track Name,Artist,Streams,URL
88,Lovers,sumika,34375,https://open.spotify.com/track/3pwe5YS438tETO53DSfTnl
89,"Baby I'm a star",NiziU,33643,https://open.spotify.com/track/0MP1URfhXWBOtEmeV32SxU
90,366日,HY,33452,https://open.spotify.com/track/22aZD7yaGYfhgCYazL4nbc
91,"Route 246",Nogizaka46,32899,https://open.spotify.com/track/7zC66d7FERcogZkgW7lgnq
92,ワタリドリ,[Alexandros],32650,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o
93,盗作,ヨルシカ,32325,https://open.spotify.com/track/0k0zcBRE3StKssNhEF86rW
94,Angel,CHANMINA,32101,https://open.spotify.com/track/3Bkg2Jge2dDowdgpjJTz8N
95,空の青さを知る人よ,Aimyon,31754,https://open.spotify.com/track/3u0e8pyoVc7l2u3T5thohY
96,誰がその鐘を鳴らすのか?,Keyakizaka46,31414,https://open.spotify.com/track/6MmOpSGiXnjjvpBFFCxnBM
97,ハッピーエンド,"back number",31401,https://open.spotify.com/track/0ssEfLe9aqPhMmLXKqBw6J
98,そっけない,RADWIMPS,31077,https://open.spotify.com/track/2ntXQnx4ZUraj1u5Hwqjem
99,いつか,"Saucy Dog",30943,https://open.spotify.com/track/0v3iUTe5rskRsxbUhboRlT
100,奏(かなで),"Sukima Switch",30839,https://open.spotify.com/track/5RbMlPFL4gVyEHW2lEOuzG
101,Koushikondou,Yuzu,30576,https://open.spotify.com/track/4LewLSh92SzKMFuiQNFbhL
102,24H,SEVENTEEN,30555,https://open.spotify.com/track/3gAR6cBifLqbW8kOrMqZPr
103,LOSER,"Kenshi Yonezu",30419,https://open.spotify.com/track/7wa1cHqTRdjXZuqo4iigj1
104,"Turning Up",ARASHI,30376,https://open.spotify.com/track/4zdQmfTLWgGd5mAX4MUIaX
105,小さな恋のうた,MONGOL800,30188,https://open.spotify.com/track/23atyJacJVHvB9RHBNhr35
106,Mela!,"Ryokuoushoku Shakai",29708,https://open.spotify.com/track/6fF4cFFiKsb2T2IFHaXezn
107,東京フラッシュ,Vaundy,29482,https://open.spotify.com/track/6etVkKF8FAy4jXcSl8jlEO
108,Negai,sumika,29451,https://open.spotify.com/track/0ophTl8mevsVgtH7V0XV0g
109,祈り花,HIRAIDAI,29441,https://open.spotify.com/track/5G24eB35Ucu4A8MPKLNV9B
110,Prologue,Uru,29306,https://open.spotify.com/track/3LhiOBfTSTjfpwdElYyE8k
111,ICY,ITZY,29276,https://open.spotify.com/track/7zFBtYAVURF3bUVqEQ6UUu
112,サンキュー神様,"Masaki Suda",29213,https://open.spotify.com/track/6gNPjYLH4K4m81vE0gotPk
113,"Heaven's Drive",(sic)boy,29000,https://open.spotify.com/track/1UkvKT8XNebn2lkkLohuPd
114,海の幽霊,"Kenshi Yonezu",28943,https://open.spotify.com/track/488BRQDxWjQvasYBSnlf53
115,トリコ,Nissy,28542,https://open.spotify.com/track/7H5uStZMOGpcVw7eW0eyTi
116,ON,BTS,28311,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
117,夏夜のマジック,"Indigo la End",28101,https://open.spotify.com/track/144pIQC3mpmUkZXMt8fIwb
118,低血ボルト,ZUTOMAYO,28004,https://open.spotify.com/track/0SSSCk5UpgyiuO7bGr1et0
119,"Shape of You","Ed Sheeran",27865,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
120,WANNABE,ITZY,27733,https://open.spotify.com/track/6tCssnvTUREcperDOUTqvA
121,"GIRL FRIEND",HIRAIDAI,27648,https://open.spotify.com/track/6zhomh6i5vk45SStgcoMho
122,君がくれた夏,"Leo Ieiri",27566,https://open.spotify.com/track/6woHdm2NKm0RHbuO7qt4ww
123,どろん,"King Gnu",27488,https://open.spotify.com/track/2JY4tbfUERXveQxv6wTFFv
124,FANCY,TWICE,27344,https://open.spotify.com/track/0W5hTAWn8Tq0Qfhg1XP3YW
125,"Boom Boom Boom",NiziU,27018,https://open.spotify.com/track/5SvmqYmtWdOffFcYg21IhJ
126,春愁,"Mrs. GREEN APPLE",26960,https://open.spotify.com/track/5SHguvOUbyPTINNjCvRo8K
127,会いたいわ,iri,26717,https://open.spotify.com/track/5g1SvaEtzlKEqre9FbPQEc
128,花束,"back number",26709,https://open.spotify.com/track/3QIAwtEEDOrv0g5NKCGrXZ
129,"Slow & Easy",HIRAIDAI,26634,https://open.spotify.com/track/4b5oBON2DgamONUxvP4JyQ
130,"Beyond the Rainbow",NiziU,26578,https://open.spotify.com/track/3jKhYB78kmpIxMHQXrDUaj
131,"Wasted Nights","ONE OK ROCK",26348,https://open.spotify.com/track/39LyUQIy7idLxPdsjyZsxe
132,優しい人,"Kenshi Yonezu",26342,https://open.spotify.com/track/4cYN64J3v6mcDLlTEsayvW
133,天体観測,"BUMP OF CHICKEN",26204,https://open.spotify.com/track/3hRRYgBeunE3PTmnzATTS0
134,"Over Now (with The Weeknd)","Calvin Harris",26187,https://open.spotify.com/track/58AGoOGbwsQMhBbH0eFLRR
135,全力少年,"Sukima Switch",25973,https://open.spotify.com/track/3Ztjw8utVpcrzms1RrsJvR
136,Time,"Hikaru Utada",25957,https://open.spotify.com/track/1M1jLhhnhXRoM4yHd4vAuW
137,アイネクライネ,"Kenshi Yonezu",25933,https://open.spotify.com/track/45YBVp6zMwQZRbUDcPzmMB
138,愛をこめて花束を,Superfly,25906,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ
139,ひまわり,"Kenshi Yonezu",25856,https://open.spotify.com/track/3Nf9zRNwzPWmZ3cG5wxdq5
140,Vintage,"Official HIGE DANdism",25831,https://open.spotify.com/track/0VJjfALZ6SuIQumrTgF3tJ
